20249,14881,33365,20279,26233,29724,14928,24312,23897,57734,57353,22316,24968,18763,81902,26774,22093,21506,98474,18886,5752,14986,33872,8843,40482,1304,14323,9024,8560,7724,14277
19460,12606,26294,17999,19126,23089,11464,17094,22906,50971,46905,14224,18739,16428,58777,23167,19970,20434,82228,16658,5302,8880,24595,6212,39924,970,11402,7278,5543,6318,17984
5862,8578,5481,2959,2386,6134,3077,4928,6274,12444,7773,3008,3250,2943,12838,4735,6048,4303,5012,3114,512,2589,4602,1225,4195,208,2244,1147,492,754,1983
5200,1872,4500,4155,1943,4714,2726,4427,2024,12397,5713,2258,2300,2524,11352,3539,7234,3559,11315,1798,564,2125,3720,1450,1561,243,1512,2011,367,679,2257
