2016:[817781,20249 ,23897 ,14881 ,14986 ,33365 ,20279 ,26233 ,24312 ,14928 ,29724 ,57734 ,57353 ,22316 ,24968 ,18763 ,81902 ,26774 ,22093 ,21506 ,98474 ,18886 ,5752 ,33872 ,8843 ,40482 ,1304 ,14323 ,9024 ,8560 ,7724 ,14277 ,2507 ,821 ,814 ,2424 ,1331 ,1377 ,881 ,931 ,559 ,1282 ,2622 ,2653 ,1532 ,288 ,345 ,844 ,1153 ,314 ,1497 ,532 ,450 ,637 ,1787 ,384 ,741 ,170 ,585 ,341 ,1998 ,330 ,1199 ,3875 ,239 ,343 ,582 ,525 ,1132 ,769 ,93 ,4456 ,665 ,1805 ,1732 ,4708 ,662 ,393 ,16227 ,0 ,929 ,387 ,477 ,4297 ,344 ,1125 ,1166 ,351 ,832 ,701 ,1717 ,668 ,1014 ,663 ,801 ,1061 ,2088 ,7667 ,1461 ,3886 ,583 ,1634 ,789 ,1467 ,1613 ,1263 ,1727 ,4459 ,3750 ,1125 ,11992 ,1057 ,2154 ,1752 ,713 ,3437 ,1843 ,896 ,3109 ,431 ,2664 ,2640 ,868 ,0 ,245 ,1060 ,976 ,878 ,275 ,341 ,1349 ,1640 ,159 ,410 ,167 ,666 ,245 ,2021 ,341 ,369 ,334 ,502 ,182 ,901 ,997 ,4411 ,4330 ,521 ,556 ,557 ,727 ,621 ,801 ,374 ,1421 ,348 ,727 ,4145 ,762 ,911 ,1770 ,3484 ,586 ,3277 ,1873 ,1605 ,1063 ,470 ,4883 ,1856 ,0 ,738 ,2692 ,1517 ,4170 ,773 ,762 ,479 ,1028 ,849 ,304 ,1111 ,1864 ,623 ,436 ,490 ,576 ,580 ,840 ,529 ,882 ,6283 ,1424 ,2028 ,374 ,1054 ,855 ,1774 ,884 ,1284 ,906 ,591 ,274 ,3301 ,1362 ,374 ,1419 ,653 ,1081 ,1775 ,205 ,754 ,530 ,918 ,1181 ,180 ,0 ,734 ,670 ,278 ,2149 ,414 ,0 ,0 ,1282 ,1591 ,4301 ,0 ,0 ,279 ,1847 ,557 ,18409 ,3213 ,0 ,478 ,0 ,4005 ,502 ,316 ,334 ,1557 ,275 ,156 ,556 ,271 ,452 ,234 ,1113 ,427 ,500 ,1013 ,0 ,382 ,6558 ,266 ,73 ,944 ,381 ,355 ,1283 ,223 ,219 ,348 ,80 ,90 ,461 ,349 ,314 ,662 ,430 ,1930 ,1360 ,1087 ,433 ,260 ,0 ,721 ,11348 ,215 ,8262 ,682 ,0 ,290 ,63 ,0 ,775 ,0 ,0 ,5829 ,618 ,382 ,0 ,1447 ,1611 ,784 ,400 ,550 ,392 ,0 ,251 ,284 ,278 ,174 ,405 ,1296 ,339 ,765 ,1738 ,1113 ,468 ,187 ,333 ,0 ,1281.996006,98],
2011:[754321,19460 ,22906 ,12606 ,8880 ,26294 ,17999 ,19126 ,17094 ,11464 ,23089 ,50971 ,46905 ,14224 ,18739 ,16428 ,58777 ,23167 ,19970 ,20434 ,82228 ,16658 ,5302 ,24595 ,6212 ,39924 ,970 ,11402 ,7278 ,5543 ,6318 ,17984 ,2336 ,813 ,809 ,2353 ,1175 ,1365 ,825 ,900 ,495 ,1278 ,2297 ,2502 ,1377 ,287 ,310 ,807 ,1029 ,275 ,1363 ,510 ,443 ,616 ,1581 ,371 ,713 ,153 ,539 ,325 ,1783 ,314 ,1128 ,3861 ,214 ,311 ,511 ,522 ,1009 ,691 ,83 ,4434 ,600 ,1718 ,1525 ,4409 ,599 ,388 ,14591 ,0 ,928 ,369 ,470 ,3741 ,332 ,998 ,1022 ,339 ,759 ,659 ,1585 ,619 ,913 ,617 ,763 ,934 ,2058 ,7242 ,1410 ,3381 ,546 ,1445 ,770 ,1283 ,1572 ,1177 ,1620 ,4011 ,3281 ,1066 ,11106 ,919 ,1936 ,1595 ,707 ,3166 ,1609 ,851 ,2759 ,400 ,2430 ,2476 ,825 ,0 ,223 ,947 ,861 ,836 ,259 ,315 ,1191 ,1559 ,150 ,381 ,163 ,593 ,231 ,1940 ,330 ,353 ,307 ,464 ,167 ,852 ,996 ,4299 ,3779 ,496 ,522 ,509 ,679 ,562 ,737 ,338 ,1336 ,305 ,723 ,3839 ,712 ,855 ,1577 ,3262 ,550 ,2885 ,1800 ,1499 ,972 ,426 ,4536 ,1846 ,0 ,706 ,2545 ,1467 ,3721 ,771 ,695 ,448 ,1027 ,792 ,297 ,1022 ,1810 ,546 ,411 ,453 ,562 ,577 ,788 ,517 ,778 ,5919 ,1398 ,1782 ,355 ,936 ,817 ,1645 ,822 ,1229 ,798 ,555 ,255 ,3195 ,1244 ,347 ,1328 ,625 ,973 ,1745 ,196 ,692 ,491 ,904 ,1064 ,163 ,0 ,691 ,666 ,251 ,1900 ,385 ,0 ,0 ,1199 ,1427 ,4108 ,0 ,0 ,266 ,1727 ,499 ,17596 ,3067 ,0 ,469 ,0 ,3987 ,501 ,284 ,308 ,1503 ,243 ,146 ,502 ,241 ,421 ,210 ,1089 ,374 ,450 ,899 ,0 ,334 ,6309 ,243 ,73 ,861 ,332 ,332 ,1130 ,194 ,204 ,317 ,78 ,84 ,409 ,337 ,309 ,601 ,389 ,1878 ,1241 ,962 ,387 ,257 ,0 ,672 ,10568 ,200 ,8166 ,639 ,0 ,286 ,55 ,0 ,718 ,0 ,0 ,5584 ,551 ,357 ,0 ,1414 ,1514 ,758 ,358 ,492 ,379 ,0 ,237 ,273 ,247 ,171 ,364 ,1214 ,318 ,691 ,1702 ,1100 ,420 ,179 ,322 ,0 ,1196.810577,887],
2006:[125236,5862 ,6274 ,8578 ,2589 ,5481 ,2959 ,2386 ,4928 ,3077 ,6134 ,12444 ,7773 ,3008 ,3250 ,2943 ,12838 ,4735 ,6048 ,4303 ,5012 ,3114 ,512 ,4602 ,1225 ,4195 ,208 ,2244 ,1147 ,492 ,754 ,1983 ,635 ,289 ,190 ,503 ,294 ,323 ,322 ,210 ,154 ,301 ,580 ,596 ,290 ,90 ,86 ,277 ,230 ,65 ,298 ,104 ,97 ,150 ,419 ,123 ,162 ,40 ,155 ,114 ,531 ,69 ,301 ,724 ,55 ,115 ,160 ,148 ,246 ,205 ,33 ,1553 ,236 ,350 ,310 ,775 ,171 ,151 ,3077 ,0 ,295 ,76 ,151 ,1710 ,75 ,244 ,351 ,108 ,206 ,191 ,383 ,153 ,210 ,159 ,230 ,272 ,714 ,2553 ,459 ,731 ,200 ,323 ,250 ,405 ,563 ,268 ,460 ,819 ,690 ,283 ,1061 ,219 ,440 ,439 ,163 ,768 ,459 ,297 ,742 ,91 ,600 ,522 ,191 ,234 ,53 ,208 ,188 ,194 ,77 ,99 ,354 ,322 ,37 ,117 ,64 ,195 ,50 ,420 ,123 ,139 ,72 ,125 ,61 ,258 ,203 ,884 ,820 ,160 ,118 ,135 ,175 ,205 ,260 ,107 ,272 ,65 ,180 ,1120 ,284 ,180 ,332 ,741 ,172 ,975 ,499 ,329 ,282 ,117 ,1362 ,396 ,0 ,145 ,708 ,298 ,416 ,160 ,271 ,120 ,243 ,260 ,101 ,211 ,395 ,135 ,135 ,129 ,132 ,126 ,271 ,137 ,266 ,848 ,504 ,498 ,135 ,229 ,181 ,584 ,222 ,271 ,220 ,143 ,52 ,867 ,360 ,110 ,364 ,160 ,302 ,557 ,69 ,160 ,126 ,213 ,215 ,60 ,0 ,163 ,150 ,96 ,417 ,110 ,80 ,0 ,259 ,504 ,865 ,0 ,0 ,55 ,545 ,118 ,6780 ,746 ,144 ,114 ,0 ,975 ,197 ,97 ,115 ,361 ,65 ,55 ,107 ,68 ,101 ,43 ,245 ,80 ,149 ,245 ,0 ,110 ,1548 ,80 ,23 ,230 ,117 ,72 ,240 ,60 ,70 ,101 ,23 ,27 ,125 ,116 ,105 ,169 ,114 ,436 ,306 ,211 ,110 ,60 ,0 ,228 ,1122 ,59 ,2040 ,144 ,0 ,109 ,16 ,45 ,208 ,0 ,0 ,873 ,112 ,120 ,0 ,289 ,364 ,206 ,76 ,100 ,93 ,0 ,94 ,75 ,65 ,64 ,73 ,281 ,78 ,234 ,377 ,375 ,99 ,70 ,93 ,0 ,250,200],
2001:[112039,5200 ,2024 ,1872 ,2125 ,4500 ,4155 ,1943 ,4427 ,2726 ,4714 ,12397 ,5713 ,2258 ,2300 ,2524 ,11352 ,3539 ,7234 ,3559 ,11315 ,1798 ,564 ,3720 ,1450 ,1561 ,243 ,1512 ,2011 ,367 ,679 ,2257 ,727 ,320 ,182 ,326 ,244 ,226 ,304 ,199 ,83 ,277 ,514 ,473 ,214 ,450 ,67 ,170 ,500 ,480 ,230 ,146 ,597 ,120 ,345 ,105 ,85 ,205 ,0 ,0 ,395 ,50 ,245 ,543 ,55 ,131 ,142 ,166 ,206 ,163 ,25 ,1626 ,245 ,338 ,267 ,739 ,115 ,120 ,2726 ,197 ,134 ,68 ,139 ,1604 ,68 ,191 ,266 ,72 ,90 ,156 ,337 ,104 ,176 ,60 ,160 ,251 ,513 ,1446 ,312 ,691 ,140 ,355 ,245 ,100 ,266 ,198 ,229 ,3533 ,525 ,1381 ,1070 ,294 ,302 ,303 ,127 ,552 ,150 ,437 ,220 ,58 ,567 ,402 ,98 ,28 ,108 ,92 ,210 ,170 ,74 ,47 ,162 ,289 ,0 ,97 ,25 ,200 ,57 ,381 ,68 ,78 ,71 ,74 ,90 ,190 ,182 ,450 ,630 ,108 ,64 ,117 ,99 ,100 ,181 ,185 ,243 ,120 ,249 ,1116 ,220 ,293 ,1500 ,437 ,148 ,18 ,398 ,326 ,333 ,100 ,896 ,159 ,216 ,165 ,491 ,220 ,473 ,128 ,141 ,100 ,183 ,146 ,88 ,187 ,239 ,85 ,78 ,116 ,70 ,92 ,156 ,86 ,141 ,1761 ,100 ,190 ,507 ,180 ,176 ,354 ,206 ,261 ,170 ,136 ,51 ,262 ,200 ,118 ,297 ,166 ,165 ,320 ,51 ,284 ,67 ,147 ,208 ,115 ,1384 ,127 ,123 ,46 ,235 ,201 ,129 ,488 ,284 ,411 ,160 ,1200 ,74 ,84 ,157 ,425 ,5634 ,656 ,300 ,136 ,291 ,300 ,185 ,71 ,74 ,203 ,50 ,0 ,94 ,41 ,83 ,75 ,189 ,80 ,154 ,273 ,0 ,102 ,1038 ,50 ,0 ,356 ,130 ,66 ,165 ,34 ,24 ,30 ,46 ,0 ,166 ,189 ,285 ,175 ,45 ,315 ,781 ,239 ,0 ,0 ,70 ,90 ,900 ,0 ,0 ,89 ,0 ,96 ,0 ,0 ,208 ,0 ,35 ,416 ,54 ,108 ,173 ,66 ,240 ,125 ,38 ,90 ,92 ,1046 ,90 ,60 ,68 ,32 ,73 ,159 ,87 ,234 ,307 ,316 ,231 ,34 ,0 ,22 ,502,154],
