2095,1525,3826,2721,1456,2373,3644,1022,4687,2905,1496,1834,1355,1935,1970,4211,1332,4227,2131,3112,2188,1359,1565,2739,2031,2616,977,5205,3330,2365,1088,3538,5059,2259,724,1573,2466,1575,3980,2858,1301,7638,4289,3020,9226,2144,1442,10575,6709,10088,9031,8772,3092,6964,4822,1090,5627,1579,501,4583,1601,1274,1802,10091,4907,4329,7771,6421,6177,3915,3643,3550,1195,9010,7692,6535,4150,5701,2905,6636,10227,954,6842,1440,1975,1729,2088,1014,583,1025,2421,2417,2023,834,4980,2689,2601,1355,1172,3849,1831,5465,2403,2008,2483,1432,2848,2564,1710,1661,2786,828,1922,1936,865,1917,1249,1469,1298,575,1888,2592,3830,3914,2707,2191,2138,2176,1281,2306,3356,1414,1799,2094,1072,2009,728,1862,1695,1179,963,1951,1738,1810,4210,5501,6893,6027,2452,6328,3465,6064,1958,4931,4915,1635,5739,2463,1287,1203,570,1578,1239,2250,1045,1494,1596,949,1657,1416,1391,1721,1329,2600,8282,4673,3435,3178,5429,7268,9997,7107,6125,9351,4271,3535,3144,5224,1913,2338,1934,3264,1561,2597,1737,1703,4425,1480,5573,1688,8423,3653,2201,3171,4290,3854,1975,5239,4677,1278,6833,5098,10400,8049,4557,953,3927,387,2280,7557,843,3206,2019,3915,1176,838,1682,776,2620,852,1630,1586,5398,1060,1076,3881,8094,2406,1342,2419,2772,2401,548,3099,971,1331,1771,3300,701,660,369,1751,133,1149,5843,1643,2070,1797,6957,3923,2238,2103,2039,1503,1647,1268,2264,2981,1362,2320,6486,1722,1589,3557,5681,1400,2326,4261,2113,4169,5323,9762,3838,2270,4557,3806,737,3407,1648,8852,1776,6371,7156,2134,5046,11118,4000,4495,1913,5661,1489,1098,910,3750,10226,3667,1200,10600,3122,600,3832,3400,2915,4689,6319,4037
1929,1428,3702,2561,1475,2231,2745,639,4882,2195,1603,1859,1353,2012,1811,4176,1304,4353,1820,2667,1483,1285,2273,2604,2966,2952,290,5561,3506,2283,1006,3919,7551,2230,662,1569,2401,1541,3435,3109,1350,5941,3426,1954,9280,2111,1208,10771,8221,9972,8777,9214,2746,8764,4662,1268,6142,1328,442,5052,1706,2887,251,10838,4878,4327,7785,6521,6348,3915,5986,3619,1173,9361,8145,6641,309,5569,2195,7583,10703,3515,6386,1861,1977,1743,2123,985,880,1184,2436,2448,2173,746,4953,2771,2298,1449,1119,3444,2331,5601,2292,1767,2458,1421,2891,3132,1663,1722,2691,795,1793,2328,998,1862,1223,1442,1281,556,2125,0,3822,3802,2627,2741,2168,2552,1166,2381,3060,1504,1564,2157,1015,1987,684,1805,1566,1168,972,1852,1606,1682,4001,6365,9563,6764,2298,5977,2408,5805,1762,4450,4389,1325,5143,2326,1125,1118,565,1525,2122,1809,1033,1373,2164,1086,1972,1536,1181,1846,1273,1921,7055,4623,3182,2735,6864,7868,9320,7123,6125,9350,4298,3417,2820,5174,4671,2230,1739,2041,1529,2323,1627,2068,4018,1344,8626,1666,10341,3017,3057,2974,4032,1409,1849,6466,1736,1114,5869,5224,8630,7703,4797,862,1459,365,2373,8686,1450,2305,3901,3809,1146,1029,1986,748,2385,2500,1613,2323,1345,1003,5431,4096,7509,2178,1338,2546,2610,2315,524,2483,1226,1276,1703,3851,2175,642,363,4507,0,2564,5552,1426,1965,1740,6687,4440,2155,1788,2785,1533,1620,1282,2470,5384,1466,1728,6056,1733,4388,3343,6279,4912,2237,4247,3995,3961,5818,10492,4008,4614,7405,3490,729,0,92,9183,2185,6518,7300,1976,4982,10583,3223,4315,8629,8840,1505,974,5369,3798,9554,3532,1060,10807,2687,547,3394,5037,3453,4593,6497,4999
2238,1094,2774,2590,1474,2444,2488,598,3840,1547,2271,2364,2087,2030,2057,4547,1860,5306,1890,3164,2674,1618,3230,2653,3045,3081,1146,6307,3891,2113,6145,5403,10636,2145,1121,1598,2378,1671,3538,2786,1353,5220,3465,1926,13134,1884,1211,12184,2398,8506,2117,13797,2199,8989,630,1799,8006,1499,470,2869,630,552,262,12537,7622,4905,8216,6753,569,3873,6217,8095,6499,9515,8012,8769,282,470,1547,991,10780,5187,10323,5321,4262,1768,2469,959,1221,1284,6057,2247,2078,761,4892,5063,3169,1815,1630,4818,1895,1925,1598,1985,2808,1747,3046,4502,1432,4884,3490,1405,2888,3054,1782,2701,1104,1601,2046,1261,3485,8600,5765,5406,2721,2952,2033,999,1058,2446,4571,2225,1385,1905,794,1899,547,2122,1693,594,1286,2163,1561,1544,3840,10875,10476,7248,2629,5078,2448,5137,2841,3720,3625,1414,11791,4270,1098,3765,2140,1949,3576,3440,2403,1164,1920,1090,1931,1782,1301,1635,1454,3789,8702,3621,4270,7300,10192,2001,8440,10305,13714,9388,4552,11031,2290,4340,5846,7239,1086,1814,1999,2229,1462,1662,6289,1552,10348,1650,10528,2908,4503,3962,4656,1451,1651,6857,2665,1809,6720,6250,1168,7592,6002,5908,2625,263,1932,9848,684,8463,3711,14072,1287,873,3954,4793,2452,2535,2015,2169,4334,1123,1432,3711,19896,2393,1415,2473,3516,3400,434,3264,1258,2534,1899,3430,2993,1789,604,4253,0,2872,4773,1435,1792,2128,2435,3409,1749,1476,2118,1470,1513,8456,2477,6012,2238,2206,6448,1800,5201,3148,8586,5017,2683,3279,6829,4852,4727,10957,4794,3968,10299,554,1020,0,1881,11993,2685,8162,7496,2212,11368,13210,609,12698,9259,13436,1458,3610,3616,3733,9253,4411,975,11694,2169,8497,5205,7300,2987,5800,8556,6593
754,1099,1959,831,1283,2039,851,508,345,822,1246,1315,1043,1471,555,1596,887,1357,502,1175,1402,453,3013,515,1096,361,1125,1349,212,1872,294,187,4343,1042,632,1486,1983,1146,2947,2596,5560,4128,3159,1683,662,121,3267,836,3094,2231,1913,562,8787,7600,533,1844,10324,624,0,0,543,487,245,1878,261,57,330,152,767,285,7433,225,279,399,595,844,257,327,822,869,2169,2685,597,1398,700,1749,1991,889,634,1274,2156,2116,1927,700,1052,913,1131,963,780,3116,1604,1634,8177,1472,1138,924,2117,1130,1361,975,2141,497,324,1817,300,974,1342,1332,891,982,894,2458,2502,3088,3985,1749,4631,1291,935,1937,1934,2917,2222,1690,1496,1086,188,1512,77,86,237,2722,99,1433,1284,875,2933,774,2766,7981,1269,897,2061,4420,735,644,5095,1477,1031,572,240,637,754,921,927,789,752,554,1791,609,1154,928,1071,668,2277,3115,859,1764,4212,1844,1414,2177,2717,931,4311,1988,2288,4365,846,739,378,1615,412,3470,2285,214,1111,2116,948,1632,686,2904,366,3251,512,1139,471,5714,2483,1671,1933,6154,1461,1569,4457,222,1570,1302,955,511,584,1771,1732,3988,598,3254,6355,3474,3357,1833,2544,1139,677,357,233,9219,980,765,1223,1998,2363,1434,90,0,1108,474,316,322,259,2501,553,2711,0,2523,2020,201,495,690,564,964,718,774,935,643,307,316,879,448,1302,643,677,328,788,875,867,4787,3398,1750,558,3272,0,390,2543,2711,0,0,977,0,2773,2846,1410,3040,581,241,967,1600,4792,931,1568,1176,55,100,118,69,197,135,249,204,2187,535,628,307,0,135,146,28
